,Propeller,Motor,thrust_max_volt,thrust_max_power,thrust_max_amps,efficiency_max_volt,efficiency_max_power,efficiency_max_amps,current_max_volt,current_max_power,current_max_amps,Hover_time_3x_total,WeightForce,radius,pitch,Kv,Kt,Voltage,Weight
12431,apc_propellers_13x4W,kde_direct_KDE700XF_295_G3,189.6,554.16,642.4199999999998,86.23,88.17,87.90999999999998,133.73999999999998,703.5,877.9199999999998,4229.61951,65.1130447,165.1,101.6,270.8753675674612,0.0324,37.0,0.0044693694
12577,apc_propellers_13x4_5MR,kde_direct_KDE700XF_295_G3,208.02000000000004,674.9399999999999,808.8,87.92,89.42,89.14,164.16000000000003,670.98,877.9199999999998,4106.34924,65.1115265,165.1,114.3,274.0297399964572,0.0324,37.0,0.004314513774
12723,apc_propellers_13x4_7SF,kde_direct_KDE700XF_295_G3,286.5,712.5600000000001,782.1600000000001,89.65999999999998,89.77999999999999,89.57,246.6,764.4,877.9199999999998,3414.9437399999997,65.111412,165.1,119.38,277.1841124254532,0.0324,37.0,0.0043028111519999995
12771,apc_propellers_13x4_7SF,t_motor_AT4130KV300,99.18,441.11999999999995,484.44,80.25,86.19,86.18,99.18,423.41999999999996,473.7,3157.2985799999997,65.0943604,165.1,119.38,278.22116637471214,0.03183098861837907,22.200000000000003,0.002562811152
12785,apc_propellers_13x4_7SF,t_motor_AntigravityMN6007IIKV320,97.2,205.68,288.06,78.73,80.40999999999998,80.49,98.1,200.76000000000002,279.18,3212.8480199999995,65.0800095,165.1,119.38,278.523640443246,0.029841551829730376,22.200000000000003,0.0010988111520000001
12787,apc_propellers_13x4_7SF,t_motor_AntigravityMN6007KV320,96.72000000000001,189.47999999999996,251.94000000000003,76.52999999999999,79.02999999999999,79.44,100.14,188.1,246.3,3105.3090899999997,65.081131,165.1,119.38,278.56685102446517,0.029841551829730376,22.200000000000003,0.001212811152
12869,apc_propellers_13x5_5E,kde_direct_KDE700XF_295_G3,210.54000000000002,688.68,826.9800000000001,90.45,91.48,91.21,206.16000000000003,669.6,877.9199999999998,3860.13354,65.1119843,165.1,139.7,280.3384848544492,0.0324,37.0,0.004361868569999999
13015,apc_propellers_13x5_5MR,kde_direct_KDE700XF_295_G3,245.58,710.88,840.0,91.75,92.2,91.99,265.56,714.24,877.9199999999998,3734.3499899999997,65.1115189,165.1,139.7,283.49285728344523,0.0324,37.0,0.004313969466
13063,apc_propellers_13x5_5MR,t_motor_AT4130KV300,84.84,378.12,440.4,79.76,88.2,88.3,79.2,419.52000000000004,473.7,3473.8374,65.0944672,165.1,139.7,284.5299112327042,0.03183098861837907,22.200000000000003,0.0025739694660000005
13074,apc_propellers_13x5_5MR,t_motor_AntigravityMN5008KV340,82.61999999999999,144.12,183.54,75.36,77.0,76.98,79.98,161.04,221.04000000000002,3414.91881,65.0785904,165.1,139.7,284.7675694294093,0.02808616642798153,22.200000000000003,0.000953969466
13077,apc_propellers_13x5_5MR,t_motor_AntigravityMN6007IIKV320,83.58000000000001,178.85999999999999,229.86,79.60000000000001,82.27,82.15999999999998,77.28,199.2,279.18,3578.55285,65.0801163,165.1,139.7,284.83238530123805,0.029841551829730376,22.200000000000003,0.0011099694659999998
13079,apc_propellers_13x5_5MR,t_motor_AntigravityMN6007KV320,83.22,166.85999999999999,207.05999999999997,76.87,80.88,81.15999999999998,79.44,185.22,246.3,3431.73522,65.0812378,165.1,139.7,284.87559588245716,0.029841551829730376,22.200000000000003,0.0012239694659999998
13161,apc_propellers_13x6,kde_direct_KDE700XF_295_G3,227.94000000000003,449.88000000000005,460.25999999999993,92.81,92.05,92.01,287.52000000000004,853.9800000000001,877.9199999999998,3885.56139,65.1129227,165.1,152.4,286.64722971244123,0.0324,37.0,0.004457394623999999
13209,apc_propellers_13x6,t_motor_AT4130KV300,79.5,283.74,286.92,79.42,88.48,88.46,71.94,464.7,473.7,3563.35839,65.095871,165.1,152.4,287.6842836617002,0.03183098861837907,22.200000000000003,0.002717394624
13307,apc_propellers_13x6_5E,kde_direct_KDE700XF_295_G3,244.32,491.16,499.25999999999993,93.83,93.11,93.02999999999999,301.74,848.94,877.9199999999998,3825.7880999999998,65.1118698,165.1,165.1,289.80160214143723,0.0324,37.0,0.004349893793999999
13355,apc_propellers_13x6_5E,t_motor_AT4130KV300,84.23999999999998,295.68,297.47999999999996,81.2,89.38,89.37,77.1,468.84,473.7,3539.76747,65.0948181,165.1,165.1,290.8386560906962,0.03183098861837907,22.200000000000003,0.0026098937940000006
13369,apc_propellers_13x6_5E,t_motor_AntigravityMN6007IIKV320,83.04,170.46,209.82,81.21,84.0,83.79,75.11999999999999,202.73999999999998,279.18,3626.9754599999997,65.0804749,165.1,165.1,291.14113015923004,0.029841551829730376,22.200000000000003,0.0011458937940000003
13371,apc_propellers_13x6_5E,t_motor_AntigravityMN6007KV320,82.67999999999999,159.96,191.58,78.36,82.61,82.8,77.22,188.04,246.3,3485.13429,65.0815887,165.1,165.1,291.18434074044916,0.029841551829730376,22.200000000000003,0.0012598937939999999
13453,apc_propellers_13x7,kde_direct_KDE700XF_295_G3,239.28,386.94,373.5,94.61,93.18,93.39,415.67999999999995,941.3399999999999,877.9199999999998,3471.2541600000004,65.1129227,165.1,177.8,292.9559745704332,0.0324,37.0,0.004457394623999999
13501,apc_propellers_13x7,t_motor_AT4130KV300,84.54,248.76000000000002,239.7,82.95,89.65999999999998,89.77999999999999,82.86,505.32000000000005,473.7,3362.2452299999995,65.095871,165.1,177.8,293.9930285196922,0.03183098861837907,22.200000000000003,0.002717394624
13512,apc_propellers_13x7,t_motor_AntigravityMN5008KV340,82.2,127.2,147.23999999999998,78.0,79.24,79.01,83.28,170.64000000000001,221.04000000000002,3317.9351699999997,65.0799942,165.1,177.8,294.2306867163974,0.02808616642798153,22.200000000000003,0.001097394624
13515,apc_propellers_13x7,t_motor_AntigravityMN6007IIKV320,83.22,149.22,173.22,82.45,84.52999999999999,84.21,80.7,215.22,279.18,3458.0449200000003,65.0815277,165.1,177.8,294.29550258822604,0.029841551829730376,22.200000000000003,0.001253394624
13517,apc_propellers_13x7,t_motor_AntigravityMN6007KV320,82.86,141.35999999999999,159.96,79.73,83.24,83.26,82.73999999999998,198.9,246.3,3323.67993,65.0826416,165.1,177.8,294.33871316944516,0.029841551829730376,22.200000000000003,0.001367394624
13599,apc_propellers_13x8,kde_direct_KDE700XF_295_G3,248.04000000000002,353.52000000000004,320.0400000000001,95.01,93.44,93.84000000000002,546.9,1006.0199999999999,877.9199999999998,3444.21972,65.1129913,165.1,203.2,296.1103469994292,0.0324,37.0,0.004464198474
13647,apc_propellers_13x8,t_motor_AT4130KV300,87.9,226.68,211.62000000000003,85.22000000000001,89.94,90.25,94.14,537.18,473.7,3183.06336,65.0959396,165.1,203.2,297.1474009486882,0.03183098861837907,22.200000000000003,0.0027241984740000004
13658,apc_propellers_13x8,t_motor_AntigravityMN5008KV340,85.2,119.7,133.32,79.14999999999999,79.77999999999999,79.49,94.26000000000002,178.62,221.04000000000002,3104.1438,65.0800629,165.1,203.2,297.38505914539337,0.02808616642798153,22.200000000000003,0.0011041984739999999
13661,apc_propellers_13x8,t_motor_AntigravityMN6007IIKV320,86.34,138.23999999999998,154.14000000000001,83.86,85.05,84.68,91.67999999999999,226.68,279.18,3262.67433,65.0815887,165.1,203.2,297.44987501722204,0.029841551829730376,22.200000000000003,0.001260198474
